sailing_id,arrival_hhmm,arrival_minutes,departure_hhmm,departure_minutes,display_order,duration_min,from_port,is_active,operator,route,season,service_note,to_port,via_text,is_conditional_service,conditional_type,conditional_route
anei-kanko__2026-01-01_2026-03-31__kohama-port__ishigaki-port__1025,10:55,655,10:25,625,1,30,小浜港,yes,安栄観光,anei-kanko__小浜→石垣,2026年1月〜3月ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-01-01_2026-03-31__kohama-port__ishigaki-port__1530,16:00,960,15:30,930,2,30,小浜港,yes,安栄観光,anei-kanko__小浜→石垣,2026年1月〜3月ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-01-01_2026-03-31__kohama-port__ishigaki-port__1650,17:20,1040,16:50,1010,3,30,小浜港,yes,安栄観光,anei-kanko__小浜→石垣,2026年1月〜3月ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-01-01_2026-03-31__hateruma-port__ishigaki-port__0950,11:20,680,09:50,590,4,90,波照間港,yes,安栄観光,anei-kanko__波照間→石垣,2026年1月〜3月ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-01-01_2026-03-31__hateruma-port__ishigaki-port__1620,17:50,1070,16:20,980,5,90,波照間港,yes,安栄観光,anei-kanko__波照間→石垣,2026年1月〜3月ダイヤ,,石垣港離島ターミナル,,no,,
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__kohama-port__0945,10:15,615,09:45,585,6,30,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→小浜,2026年1月〜3月ダイヤ,,小浜港,,no,,
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__kohama-port__1450,15:20,920,14:50,890,7,30,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→小浜,2026年1月〜3月ダイヤ,,小浜港,,no,,
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__kohama-port__1610,16:40,1000,16:10,970,8,30,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→小浜,2026年1月〜3月ダイヤ,,小浜港,,no,,
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__hateruma-port__0800,09:30,570,08:00,480,9,90,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→波照間,2026年1月〜3月ダイヤ,,波照間港,,no,,
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__hateruma-port__1430,16:00,960,14:30,870,10,90,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→波照間,2026年1月〜3月ダイヤ,,波照間港,,no,,
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__taketomi-port__0730,07:45,465,07:30,450,11,15,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→竹富,2026年1月〜3月ダイヤ,,竹富港,,no,,
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__taketomi-port__0900,09:15,555,09:00,540,12,15,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→竹富,2026年1月〜3月ダイヤ,,竹富港,,no,,
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__taketomi-port__1000,10:15,615,10:00,600,13,15,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→竹富,2026年1月〜3月ダイヤ,,竹富港,,no,,
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__taketomi-port__1220,12:35,755,12:20,740,14,15,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→竹富,2026年1月〜3月ダイヤ,,竹富港,,no,,
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__taketomi-port__1530,15:45,945,15:30,930,15,15,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→竹富,2026年1月〜3月ダイヤ,,竹富港,,no,,
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__iriomote-uehara-port__0730,08:20,500,07:30,450,16,50,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→西表上原,2026年1月〜3月ダイヤ,,西表上原港,,no,,
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__iriomote-uehara-port__0830,09:50,590,08:30,510,17,80,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→西表上原,2026年1月〜3月ダイヤ,,西表上原港,鳩間経由,no,,
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__iriomote-uehara-port__1330,14:20,860,13:30,810,18,50,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→西表上原,2026年1月〜3月ダイヤ,,西表上原港,,no,,
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__iriomote-uehara-port__1600,17:20,1040,16:00,960,19,80,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→西表上原,2026年1月〜3月ダイヤ,,西表上原港,鳩間経由,no,,
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__iriomote-ohara-port__0730,08:15,495,07:30,450,20,45,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→西表大原,2026年1月〜3月ダイヤ,上原航路欠航時のみ運航,西表大原港,,yes,route_cancelled,anei-kanko__石垣→西表上原
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__iriomote-ohara-port__0830,09:15,555,08:30,510,21,45,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→西表大原,2026年1月〜3月ダイヤ,上原航路欠航時に大原-上原方面の連絡送迎バスあり,西表大原港,,no,,
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__iriomote-ohara-port__1140,12:25,745,11:40,700,22,45,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→西表大原,2026年1月〜3月ダイヤ,,西表大原港,,no,,
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__iriomote-ohara-port__1300,13:45,825,13:00,780,23,45,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→西表大原,2026年1月〜3月ダイヤ,,西表大原港,,no,,
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__iriomote-ohara-port__1600,16:45,1005,16:00,960,24,45,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→西表大原,2026年1月〜3月ダイヤ,上原航路欠航時に大原-上原方面の連絡送迎バスあり,西表大原港,,no,,
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__hatoma-port__0830,09:50,590,08:30,510,25,80,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→鳩間,2026年1月〜3月ダイヤ,,鳩間港,上原経由,no,,
anei-kanko__2026-01-01_2026-03-31__ishigaki-port__hatoma-port__1600,16:50,1010,16:00,960,26,50,石垣港離島ターミナル,yes,安栄観光,anei-kanko__石垣→鳩間,2026年1月〜3月ダイヤ,,鳩間港,,no,,
